Course	Room	Teacher	Time	Students
006031	PK243	3839982	59	3914820 3768303 3678357 3929235 3930678 3930817 3769368 3790857 3796906 3819177 3822912 3848104 3905871 3929679 3668378 3691783 3759337 3914813 3819196 3820745 3904251 3692862 3816486 3823387 3602816 3821044 3821179 3930054 3821958 3930296 3956133 3613455 3930047 3695643 3901413 3905460 3930083 3578747 3649880 3651465 3710476 3788990 3817507 3821077 3821554 3824188 3846920 3850568 3929237 3929894 3847728 3904645 3929979 4093446 3908117 3360165 3797728 3910466 3910468 3910587 3910700 3910735 4086373 4093813 
008484	DAL1	3420576	280	3790492 3580346 3663306 3709927 3655749 3678350 3510665 3530220 3578036 3632103 3691140 3764207 3666207 3668936 
008484	DAL1	3420576	281	3790492 3580346 3663306 3709927 3655749 3678350 3510665 3530220 3578036 3632103 3691140 3764207 3666207 3668936 
004015	TAYB	0031578	278	3795919 3667453 3910937 3819177 3903138 3821180 3821008 3816960 3762625 3792350 3818029 3821034 
004015	TAYB	0031578	279	3795919 3667453 3910937 3819177 3903138 3821180 3821008 3816960 3762625 3792350 3818029 3821034 
001152	TH110	3996563	245	3915044 3910185 3813457 3816756 3903994 3905868 3577109 3667453 3814296 3816108 3819304 3901722 3901790 3914344 3930052 3652473 3690652 3789136 3811941 3822218 3845742 3852207 3929586 3930026 3930162 3930260 3768588 3815949 3834985 3930168 3900952 3904251 3914515 3576990 3652353 3690845 3823405 3903833 3930025 3616206 3695145 3863747 3914875 3796148 3818274 3851913 3915332 3672031 3797324 3814776 3771747 3819353 3826470 3854723 3928966 3768515 3781152 3796247 3796732 3817427 3817969 3820395 3821097 3834370 3901669 3903909 3906818 3914928 3929222 3929635 3904645 3821552 3910538 3910738 3910766 
001152	TH110	3996563	246	3915044 3910185 3813457 3816756 3903994 3905868 3577109 3667453 3814296 3816108 3819304 3901722 3901790 3914344 3930052 3652473 3690652 3789136 3811941 3822218 3845742 3852207 3929586 3930026 3930162 3930260 3768588 3815949 3834985 3930168 3900952 3904251 3914515 3576990 3652353 3690845 3823405 3903833 3930025 3616206 3695145 3863747 3914875 3796148 3818274 3851913 3915332 3672031 3797324 3814776 3771747 3819353 3826470 3854723 3928966 3768515 3781152 3796247 3796732 3817427 3817969 3820395 3821097 3834370 3901669 3903909 3906818 3914928 3929222 3929635 3904645 3821552 3910538 3910738 3910766 
004016	TH118	3442425	280	3813457 3931001 3610671 3708949 3793612 3929644 3816530 3432357 3823151 3930485 3816466 
004016	TH118	3442425	281	3813457 3931001 3610671 3708949 3793612 3929644 3816530 3432357 3823151 3930485 3816466 
014571	PK20	3926311	77	3789175 3839910 3813457 3851345 3816108 3821440 3823307 3915040 3929235 3833378 3930705 3931962 3652353 3816483 3695145 3863747 3915054 3771823 3561660 3843290 3902911 3931064 4086403 4086471 
014571	PK20	3926311	78	3789175 3839910 3813457 3851345 3816108 3821440 3823307 3915040 3929235 3833378 3930705 3931962 3652353 3816483 3695145 3863747 3915054 3771823 3561660 3843290 3902911 3931064 4086403 4086471 
008770	TH116	3996170	58	3578252 3816756 3589576 3814296 3816963 3833424 3843810 3905885 3914371 3764422 3651487 3480592 3805981 3823262 3821048 3788616 3814239 3826470 3910422 3928966 3476927 3540714 3591591 3638594 3690799 3694791 3759552 3788743 3904411 3929222 3901481 3910596 4086262 3668971 
008770	TH116	3996170	128	3578252 3816756 3589576 3814296 3816963 3833424 3843810 3905885 3914371 3764422 3651487 3480592 3805981 3823262 3821048 3788616 3814239 3826470 3910422 3928966 3476927 3540714 3591591 3638594 3690799 3694791 3759552 3788743 3904411 3929222 3901481 3910596 4086262 3668971 
